Code,countryName,notes,rwiRegion,ranking,rwiCompositeScore,rwiInstitutionalLegalSetting,rwiReportingPractices,rwiSafeguardsQualityControls,rwiEnablingEnvironment,rwiResource
NOR,Norway,,OECD,1,98,100,97.1,98.3,97.9,Hydrocarbons
USA,United States,Gulf of Mexico,OECD,2,92,87.5,97.4,88.9,89.9,Hydrocarbons
GBR,United Kingdom,,OECD,3,88,78.6,91.4,83.3,92.8,Hydrocarbons
AUS,Australia,Western Australia,OECD,4,85,87.5,87.2,64.8,96,Minerals 
BRA,Brazil,,Latin America & Caribbean,5,80,81.5,77.9,96,66.7,Hydrocarbons
MEX,Mexico,,Latin America & Caribbean,6,77,27.8,42.6,35.9,51.7,Hydrocarbons
CAN,Canada,Alberta,OECD,7,76,66.7,72.2,74.2,95.6,Hydrocarbons
CHL,Chile,,Latin America & Caribbean,8,75,77.2,73.6,64.5,86,Minerals
COL,Colombia,,Latin America & Caribbean,9,74,14.8,14.4,20.1,56.4,Hydrocarbons
TTO,Trinidad and Tobago,,Latin America & Caribbean,10,74,37.7,39.8,59,51.3,Hydrocarbons
PER,Peru,,Latin America & Caribbean,11,73,83.9,82.5,81.3,54,Minerals
IND,India,,Eurasia & South Asia,12,70,79.2,51.3,73.1,58.7,Hydrocarbons
TLS,Timor-Leste,,East Asia & Pacific,13,68,62.2,58.3,76.1,29.5,Hydrocarbons
IDN,Indonesia,,East Asia & Pacific,14,66,75.9,65.9,75,47.9,Hydrocarbons
GHA,Ghana,,Sub-Saharan Africa,15,63,75.3,73.2,91.1,57.1,Minerals
LBR,Liberia,,Sub-Saharan Africa,16,62,42.6,46.1,46.2,32,Minerals
ZMB,Zambia,,Sub-Saharan Africa,17,61,39.6,44,47.9,35.7,Minerals
ECU,Ecuador,,Latin America & Caribbean,18,58,62.5,39.4,31.3,27.3,Hydrocarbons
KAZ,Kazakhstan,,Eurasia & South Asia,19,57,83.3,61.5,70.8,32.5,Hydrocarbons
VEN,Venezuela,,Latin America & Caribbean,20,56,65.6,38.1,52.5,19.6,Hydrocarbons
RUS,Russian Federation,,Eurasia & South Asia,21,56,69,30.8,75,72.3,Minerals
ZAF,South Africa,,Sub-Saharan Africa,22,56,58.3,26,36.9,38.3,Hydrocarbons
PHL,Philippines,,East Asia & Pacific,23,54,63,54,50.7,47,Minerals
MAR,Morocco,,Middle East & North Africa,24,53,29.6,35,31.3,32.4,Hydrocarbons
