property,annual_emissions,normalised_cost,annual_cost,primary_energy_consumption,energy_per_area,electrical_emissions,gas_emissions,electrical_per_area,gas_per_area,electrical_normalised_cost,gas_normalised_cost,electrical_annual_cost,gas_annual_cost,comfort_pre,comfort_post,comfort_pre_value,comfort_post_value,pre_air_tightness,post_air_tightness,ashp,gshp,electric,gas_fired_boiler,biomass_boiler,micro_chp,solar_pv,solar_thermal,mvhr,exhaust_air_heat_recovery,decentralised_mev,cavity_insulation,ewi_solid_wall,iwi_solid_wall,triple_glazed,roof_or_loft_insulation,floor_insulation,low_energy_lighting,new_heating_controls,voltage_optimisation
TSB014,13.93296597,4.658779194,386.3991464,90.87248705,35.97699416,12.86994333,1.063022632,30.49749605,5.479498103,4.416037428,0.242741766,366.2661443,20.13300207,NA,NA,NA,NA,9.02,6.16,,,,,yes,NA,,yes,,,,,yes,,yes,yes,yes,,,NA
TSB068,14.80213617,5.079026819,361.6267095,98.21322578,35.07615206,14.80213617,0,35.07615206,0,5.079026819,0,361.6267095,0,VERYPOOR,EXCELLENT,-2,2,8.5,0.85,,,,,yes,NA,,,yes,,,,yes,,yes,yes,,,yes,NA
TSB019,15.86946163,4.567410997,374.4363535,93.97231299,58.90547499,8.221225353,7.648236274,19.48157667,39.42389832,2.820932301,1.746478696,231.2600301,143.1763235,NA,NA,NA,NA,7.46,4.25,,,,yes,,NA,yes,,,,,,yes,,yes,yes,,yes,yes,NA
TSB018,19.566641,5.967438231,489.2105862,120.198474,64.47773704,13.06341722,6.503223781,30.95596498,33.52177206,4.482423729,1.485014502,367.4690973,121.7414889,GOOD,GOOD,1,1,8,4.16,,,,yes,,NA,yes,,,,,,yes,,yes,yes,,,yes,NA
TSB054,20.05075469,5.750967121,448.5754354,118.4759256,74.90798187,10.21426236,9.836492327,24.20441317,50.7035687,3.504799027,2.246168093,273.3743241,175.2011113,NA,NA,NA,NA,5.86,4.04,,,,yes,,NA,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,NA
TSB028,20.57083489,7.058428653,807.3430694,136.4889519,48.74605424,20.57083489,0,48.74605424,0,7.058428653,0,807.3430694,0,GOOD,GOOD,1,1,19.87,0.31,yes,,,,,NA,,yes,,,,,,yes,yes,yes,,yes,yes,NA
TSB090,21.36228466,6.139552097,1080.561169,126.3855803,79.50660131,10.99051618,10.37176848,26.0438772,53.46272411,3.771153418,2.368398678,663.7230016,416.8381674,VERYPOOR,MIXED,-2,0,9.76,3,,,,yes,,NA,,yes,yes,,,,yes,,,yes,yes,,,NA
TSB023,21.77470695,7.471510822,666.0851898,144.4767286,51.59883165,21.77470695,0,51.59883165,0,7.471510822,0,666.0851898,0,GOOD,GOOD,1,1,9.32,5.13,,,yes,,,NA,,,yes,,,,yes,,,yes,yes,yes,,NA
TSB110,21.80977505,6.734554186,513.5097567,135.0487301,69.85548373,15.28419443,6.52558062,36.21847022,33.63701351,5.244434488,1.490119698,399.8881297,113.621627,MIXED,GOOD,0,1,10.05,3.33,,,,yes,,NA,yes,yes,yes,,,,yes,,yes,yes,yes,,,NA
TSB051,21.94715999,6.238050074,378.4001175,128.9482058,83.37208795,10.68506762,11.26209237,25.32006545,58.05202251,3.666345477,2.571704597,222.4005166,155.9996009,POOR,EXCELLENT,-1,2,16.77,5.92,,,,yes,,NA,,yes,yes,yes,,,yes,yes,,yes,yes,yes,,NA
TSB085,23.84891355,6.886484386,614.2744073,141.5134573,87.97835091,12.55100828,11.29790528,29.74172578,58.23662513,4.306601893,2.579882493,384.1488888,230.1255184,MIXED,GOOD,0,1,14.53,2.75,,,,yes,,NA,,yes,yes,,,,,yes,yes,yes,yes,yes,,NA
TSB031,24.73000145,8.485555,903.4570409,164.0853177,58.60189917,24.73000145,0,58.60189917,0,8.485555,0,903.4570409,0,...,GOOD,NA,1,15.59,6.76,yes,,yes,,,NA,yes,,yes,yes,,,yes,,,,,yes,,NA
TSB017,25.0074818,6.391427323,530.1049822,137.6877076,112.3817648,5.932837717,19.07464408,14.05885715,98.32290762,2.035722515,4.355704808,168.8428254,361.2621567,NA,NA,NA,NA,9.04,5.96,,,,yes,,NA,yes,,yes,,,,yes,,,yes,yes,,yes,NA
TSB072,25.50724886,8.07264507,887.0222403,160.4766691,76.93372442,19.58617925,5.921069611,46.41274704,30.52097737,6.720565772,1.352079298,738.455767,148.5664732,NA,NA,NA,NA,9.03,5.43,,,,yes,,NA,,yes,yes,,,yes,,yes,yes,yes,yes,yes,,NA
TSB069,28.4446486,9.760154306,694.9229866,188.7322656,67.40438057,28.4446486,0,67.40438057,0,9.760154306,0,694.9229866,0,VERYPOOR,EXCELLENT,-2,2,9.66,1,,,,,yes,NA,,,yes,,,,yes,,yes,yes,,,yes,NA
TSB010,32.89941348,11.2887087,801.3854306,218.2899472,77.96069545,32.89941348,0,77.96069545,0,11.2887087,0,801.3854306,0,NA,NA,NA,NA,NA,3.2,yes,,,,,NA,,,yes,,,,yes,,,,,,,NA
TSB053,33.8827478,11.6261182,1051.931175,224.8144404,80.29087157,33.8827478,0,80.29087157,0,11.6261182,0,1051.931175,0,NA,NA,NA,NA,4.86,3.65,,yes,,,,NA,yes,yes,yes,,,,yes,,yes,,,yes,,NA
TSB108,36.51443323,10.75920025,1121.108666,219.4468961,129.4726691,21.09395766,15.42047557,49.98568166,79.48698745,7.237926705,3.521273544,754.1919627,366.9167033,POOR,GOOD,-1,1,6,1.78,,,,yes,,NA,,yes,yes,,,,yes,yes,yes,,,yes,yes,NA
TSB008,36.96250481,11.24282837,921.9119262,226.6747971,122.5301562,24.41613247,12.54637234,57.85813382,64.67202236,8.377857777,2.86497059,686.9843377,234.9275884,MIXED,GOOD,0,1,5.62,6.76,,,,yes,,NA,,yes,yes,,,,yes,yes,yes,yes,,,,NA
TSB115,39.09486465,11.04676109,795.3667988,228.8569094,150.0939029,18.4655493,20.62931536,43.75722582,106.3366771,6.336046299,4.710714795,456.1953335,339.1714653,VERYPOOR,MIXED,-2,0,6.47,4.43,,,,yes,,NA,,,,,,,,yes,,,,,,NA
TSB033,41.09596164,14.10117357,1633.479946,272.674627,97.38379536,41.09596164,0,97.38379536,0,14.10117357,0,1633.479946,0,NA,NA,NA,NA,13.79,2.18,,yes,,,,NA,yes,,,,,,yes,yes,yes,yes,,,,NA
TSB032,41.36810103,14.1945522,1180.418961,274.4802912,98.02867542,41.36810103,0,98.02867542,0,14.1945522,0,1180.418961,0,NA,NA,NA,NA,7.51,2.95,yes,,,,,NA,yes,yes,yes,,,,yes,yes,yes,yes,,,yes,NA
TSB022,41.50166696,14.24038241,1269.530092,275.3665106,98.34518237,41.50166696,0,98.34518237,0,14.24038241,0,1269.530092,0,MIXED,POOR,0,-1,10.66,5.8,,,yes,,,NA,,,yes,,,,yes,,yes,yes,yes,yes,,NA
TSB052,42.68117961,14.64510618,1300.192527,283.1926609,101.140236,42.68117961,0,101.140236,0,14.64510618,0,1300.192527,0,NA,NA,NA,NA,NA,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSB026,43.53131899,14.93681277,1279.935486,288.8333962,103.1547843,43.53131899,0,103.1547843,0,14.93681277,0,1279.935486,0,POOR,GOOD,-1,1,8.06,10.92,,yes,,,,NA,yes,yes,,,,,,yes,yes,yes,yes,,yes,NA
TSB027,45.93107745,12.1940147,719.4468672,258.7578219,195.3725744,14.86031915,31.0707583,35.21402642,160.1585479,5.098991025,7.095023674,300.8404705,418.6063968,MIXED,MIXED,0,0,15.02,9.94,,,,yes,,NA,yes,yes,yes,,,,yes,,yes,yes,,yes,,NA
