Code,Country Name,notes,rwi_region,Average Score of NRF Indicators,Fund name,Date of creation,Amount (US$ billion)
DZA,Algeria,,Middle East & North Africa,6.3,Fonds de Régulation des Recettes,2000,55
AGO,Angola,,Sub-Saharan Africa,25,Fundo de Reserva do Tesouro Nacional,2004,0.2
AUS,Australia,Western Australia,OECD,,Future Fund,2012,
AZE,Azerbaijan,,Eurasia & South Asia,43.8,SOFAZ,1999,13
BHR,Bahrain,,Middle East & North Africa,95.8,Future Generations Reserve Fund,2006,14
BOL,Bolivia,,Sub-Saharan Africa,52.1,Pula Fund,1994,6
CAN,Canada,Alberta,OECD,72.9,Alberta Heritage Savings Trust Fund,1976,14
CHL,Chile,,Latin America & Caribbean,87.5,Copper Stabilization Fund,1985,18
COL,Colombia,,Latin America & Caribbean,,Fondo de Ahorro y Estabilización Petrolera,2011,
GNQ,Equatorial Guinea,,Sub-Saharan Africa,0,Fund for Future Generations,2008,0
GAB,Gabon,,Sub-Saharan Africa,35.4,Fond pour les Générations Futures,1998,0.4
GHA,Ghana,,Sub-Saharan Africa,,Stabilization and Heritage Funds,2011,
IRN,Iran,,Middle East & North Africa,50,Oil Stabilization Fund,1999,13
KAZ,Kazakhstan,,Eurasia & South Asia,66.7,National Fund,2000,33
KWT,Kuwait,,Middle East & North Africa,14.6,Kuwait Investment Authority,1953,203
LBY,Libya,,Sub-Saharan Africa,0,Libyan Investment Authority,1981,70
MYS,Malaysia,,East Asia & Pacific,45.8,National Trust Fund,1988,1.8
MEX,Mexico,,Latin America & Caribbean,79.2,Oil Income Stabilization Fund,2002,6
NGA,Nigeria,,Sub-Saharan Africa,16.7,"Sovereign Wealth Fund, Excess Crude Oil Account","2011, 2004",11
NOR,Norway,,OECD,100,Government Pension fund,1990,432
QAT,Qatar,,Middle East & North Africa,2.1,Qatar Investment Authority,2005,70
RUS,Russian Federation,,Eurasia & South Asia,45.8,"Reserve Fund, National Welfare Fund","2004, 2004",185
SAU,Saudi Arabia,,Middle East & North Africa,18.7,Public Investment Fund,1971,5
SDN,Sudan,,Sub-Saharan Africa,,Oil fund,2011,
TLS,Timor-Leste,,East Asia & Pacific,83.3,Petroleum Fund,2005,4.8
TTO,Trinidad and Tobago,,Latin America & Caribbean,97.9,Heritage and Stabilisation Fund,2007,2.9
VEN,Venezuela,,Latin America & Caribbean,58.3,National Development Fund (FONDEN),2005,16
