OECD,Norway,NOR,154
OECD,United Kingdom,GBR,154
Eurasia & South Asia,Russian Federation,RUS,151
Eurasia & South Asia,Azerbaijan,AZE,145
Middle East & North Africa,Bahrain,BHR,145
Middle East & North Africa,Iraq,IRQ,145
Middle East & North Africa,Kuwait,KWT,145
Middle East & North Africa,Qatar,QAT,145
Middle East & North Africa,Saudi Arabia,SAU,145
Middle East & North Africa,Yemen,YEM,145
Eurasia & South Asia,Kazakhstan,KAZ,143
Eurasia & South Asia,Turkmenistan,TKM,143
East Asia & Pacific,Papua New Guinea,PNG,54
OECD,Australia,AUS,53
East Asia & Pacific,Cambodia,KHM,35
East Asia & Pacific,Indonesia,IDN,35
East Asia & Pacific,Malaysia,MYS,35
East Asia & Pacific,Myanmar,MMR,35
East Asia & Pacific,Philippines,PHL,35
East Asia & Pacific,Timor-Leste,TLS,35
East Asia & Pacific,Vietnam,VNM,35
Eurasia & South Asia,Afghanistan,AFG,34
Eurasia & South Asia,India,IND,34
Middle East & North Africa,Iran (Islamic Republic of),IRN,34
East Asia & Pacific,China,CHN,30
East Asia & Pacific,Mongolia,MNG,30
Latin America & Caribbean,Trinidad and Tobago,TTO,29
OECD,Canada,CAN,21
OECD,United States,USA,21
Sub-Saharan Africa,Botswana,BWA,18
Sub-Saharan Africa,South Africa,ZAF,18
Sub-Saharan Africa,Angola,AGO,17
Sub-Saharan Africa,Cameroon,CMR,17
Sub-Saharan Africa,Democratic Republic of the Congo,COD,17
Sub-Saharan Africa,Equatorial Guinea,GNQ,17
Sub-Saharan Africa,Gabon,GAB,17
Middle East & North Africa,Algeria,DZA,15
Middle East & North Africa,Egypt,EGY,15
Sub-Saharan Africa,Libya,LBY,15
Middle East & North Africa,Morocco,MAR,15
Sub-Saharan Africa,Sudan,SDN,15
Sub-Saharan Africa,Mozambique,MOZ,14
Sub-Saharan Africa,Tanzania,TZA,14
Sub-Saharan Africa,Zambia,ZMB,14
Sub-Saharan Africa,Zimbabwe,ZWE,14
Latin America & Caribbean,Mexico,MEX,13
Sub-Saharan Africa,Ghana,GHA,11
Sub-Saharan Africa,Guinea,GIN,11
Sub-Saharan Africa,Liberia,LBR,11
Sub-Saharan Africa,Nigeria,NGA,11
Sub-Saharan Africa,Sierra Leone,SLE,11
Latin America & Caribbean,Bolivia,BOL,5
Latin America & Caribbean,Brazil,BRA,5
Latin America & Caribbean,Chile,CHL,5
Latin America & Caribbean,Colombia,COL,5
Latin America & Caribbean,Ecuador,ECU,5
Latin America & Caribbean,Peru,PER,5
Latin America & Caribbean,Venezuela,VEN,5
