Code,Country Name,rwi_region,Average Score of SOC Indicators,State-owned company,Other State-owned companies,Notes on ownership structure ,Commodity
AFG,Afghanistan,Eurasia & South Asia,3.3,Northern Coal Enterprise,,State-owned,Minerals
DZA,Algeria,Middle East & North Africa,49.4,Sonatrach,,State-owned,Hydrocarbons
AGO,Angola,Sub-Saharan Africa,70.4,Sonangol,,State-owned,Hydrocarbons
AZE,Azerbaijan,Eurasia & South Asia,66.9,SOCAR,,State-owned,Hydrocarbons
BHR,Bahrain,Middle East & North Africa,14.3,BAPCO,,State-owned,Hydrocarbons
BOL,Bolivia,Latin America & Caribbean,52.6,YPFB,,State-owned,Hydrocarbons
BWA,Botswana,Sub-Saharan Africa,32.1,Debswana,,Partially state-owned (50%),Minerals
BRA,Brazil,Latin America & Caribbean,91.9,Petrobras,,Partially state-owned (48% of voting shares and 64% of common shares),Hydrocarbons
CMR,Cameroon,Sub-Saharan Africa,38.1,SNH,,State-owned,Hydrocarbons
CHL,Chile,Latin America & Caribbean,84.3,CODELCO,,State-owned,Minerals
CHN,China,East Asia & Pacific,82.1,CNPC,"CNOOC, Petrochina","State-owned (CNOOC 100%, CNPC 100%), PetroChina is partially state-owned (86%)",Hydrocarbons
COL,Colombia,Latin America & Caribbean,87.6,Ecopetrol,,Partially-owned (90%),Hydrocarbons
COD,Democratic Republic of the Congo,Sub-Saharan Africa,29,Gecamines,,State-owned,Minerals
ECU,Ecuador,Latin America & Caribbean,62.2,Petroecuador,Petroamazonas EP,State-owned,Hydrocarbons
EGY,Egypt,Middle East & North Africa,30.9,EGPC,"EGAS, GANOUPE",State-owned,Hydrocarbons
GNQ,Equatorial Guinea,Sub-Saharan Africa,10,GEPetrol,,State-owned,Hydrocarbons
IND,India,Eurasia & South Asia,91.8,ONGC,,Partially state-owned (74%),Hydrocarbons
IDN,Indonesia,East Asia & Pacific,85.5,Pertamina,,State-owned,Hydrocarbons
IRN,Iran,Middle East & North Africa,15.1,NIOC,,State-owned,Hydrocarbons
IRQ,Iraq,Middle East & North Africa,40.7,Ministry of Oil,"North Oil, South Oil, Midland Oil, Missan Oil, SOMO (Iraq's oil exporting arm)",State-owned,Hydrocarbons
KAZ,Kazakhstan,Eurasia & South Asia,86.6,KazMunaiGaz,,State-owned,Hydrocarbons
KWT,Kuwait,Middle East & North Africa,63,KPC,,State-owned,Hydrocarbons
LBY,Libya,Sub-Saharan Africa,19,Libyan National Oil Corporation ,,State-owned,Hydrocarbons
MYS,Malaysia,East Asia & Pacific,61,Petronas,,State-owned,Hydrocarbons
MEX,Mexico,Latin America & Caribbean,98.3,Pemex,,State-owned,Hydrocarbons
MNG,Mongolia,East Asia & Pacific,20,Erdenes MGL,,State-owned,Minerals
MAR,Morocco,Middle East & North Africa,75.2,O.C.P.,,State-owned,Minerals
MOZ,Mozambique,Sub-Saharan Africa,28.4,ENH,,State-owned,Hydrocarbons
MMR,Myanmar,East Asia & Pacific,2.1,MOGE,,State-owned,Hydrocarbons
NGA,Nigeria,Sub-Saharan Africa,46.9,NNPC,,State-owned,Hydrocarbons
NOR,Norway,OECD,98.8,Statoil,,Partially state-owned (67%),Hydrocarbons
PNG,Papua New Guinea,East Asia & Pacific,69.3,Petromin,,State-owned,Minerals
PHL,Philippines,East Asia & Pacific,44.4,PMDC,,State-owned,Minerals
QAT,Qatar,Middle East & North Africa,36.7,Qatar Petroleum ,,State-owned,Hydrocarbons
RUS,Russian Federation,Eurasia & South Asia,91.7,Rosneft,Gazprom,"Partially state-owned (Rosneft 50%, Gazprom 75%)",Hydrocarbons
SAU,Saudi Arabia,Middle East & North Africa,40.7,ARAMCO,,State-owned,Hydrocarbons
SDN,South Sudan,Sub-Saharan Africa,31.5,Nile Petroleum,,State-owned,Hydrocarbons
TZA,Tanzania,Sub-Saharan Africa,33.3,STAMICO,,State-owned,Minerals
TTO,Trinidad and Tobago,Latin America & Caribbean,66,Petrotrin,"NGC, NPC",State-owned,Hydrocarbons
TKM,Turkmenistan,Eurasia & South Asia,0,Turkmengas,"Turkmenneft,  Turkmenneftegaz ",State-owned,Hydrocarbons
VEN,Venezuela,Latin America & Caribbean,87.4,PDVSA,,State-owned,Hydrocarbons
VNM,Vietnam,East Asia & Pacific,40.5,Petrovietnam,,State-owned,Hydrocarbons
YEM,Yemen,Middle East & North Africa,44.5,YOGC ,,State-owned,Hydrocarbons
ZMB,Zambia,Sub-Saharan Africa,67.7,ZCCM-IH,,Partially state-owned (88%),Minerals
ZWE,Zimbabwe,Sub-Saharan Africa,21.7,ZMDC,ZMCC,State-owned,Minerals
