Code,rwiEnablingEnvironment
NOR,97.9
USA,89.9
GBR,92.8
AUS,96
BRA,66.7
MEX,51.7
CAN,95.6
CHL,86
COL,56.4
TTO,51.3
PER,54
IND,58.7
TLS,29.5
IDN,47.9
GHA,57.1
LBR,32
ZMB,35.7
ECU,27.3
KAZ,32.5
VEN,19.6
RUS,72.3
ZAF,38.3
PHL,47
MAR,32.4
BOL,42.6
MNG,48.9
TZA,41.4
AZE,25
IRQ,8.7
BWA,69.3
BHR,55.2
GAB,27
GIN,12.2
MYS,57.4
SLE,22.9
CHN,33.4
YEM,15.2
EGY,40.2
PNG,37.7
NGA,19.4
AGO,15
KWT,55.1
VNM,30.8
COD,7
DZA,26.6
MOZ,34.6
CMR,17.7
SAU,36.9
AFG,8.4
SDN,7.5
ZWE,6.5
KHM,20.4
IRN,21.9
QAT,62.3
LBY,12.1
GNQ,4.3
TKM,2.7
MMR,2.2
