Code,rwiReportingPractices
NOR,97.1
USA,97.4
GBR,91.4
AUS,87.2
BRA,77.9
MEX,42.6
CAN,72.2
CHL,73.6
COL,14.4
TTO,39.8
PER,82.5
IND,51.3
TLS,58.3
IDN,65.9
GHA,73.2
LBR,46.1
ZMB,44
ECU,39.4
KAZ,61.5
VEN,38.1
RUS,30.8
ZAF,26
PHL,54
MAR,35
BOL,47.6
MNG,39.2
TZA,33.9
AZE,40.8
IRQ,28.8
BWA,28.2
BHR,82.6
GAB,46.6
GIN,45
MYS,45.4
SLE,54.1
CHN,81.9
YEM,43.1
EGY,60.4
PNG,62.1
NGA,32.6
AGO,45.5
KWT,83.1
VNM,63.6
COD,23.3
DZA,51.1
MOZ,46.5
CMR,33.2
SAU,60.4
AFG,28.5
SDN,17.3
ZWE,44.8
KHM,68.9
IRN,13.3
QAT,71.7
LBY,52.2
GNQ,13.8
TKM,4.2
MMR,4.6
