Code,rwiSafeguardsQualityControls
NOR,98.3
USA,88.9
GBR,83.3
AUS,64.8
BRA,96
MEX,35.9
CAN,74.2
CHL,64.5
COL,20.1
TTO,59
PER,81.3
IND,73.1
TLS,76.1
IDN,75
GHA,91.1
LBR,46.2
ZMB,47.9
ECU,31.3
KAZ,70.8
VEN,52.5
RUS,75
ZAF,36.9
PHL,50.7
MAR,31.3
BOL,67.9
MNG,49.2
TZA,50.3
AZE,28.1
IRQ,15.4
BWA,53.3
BHR,56.5
GAB,59.3
GIN,43.1
MYS,38.9
SLE,51.3
CHN,70.1
YEM,51.7
EGY,56.2
PNG,72.2
NGA,25.8
AGO,51.8
KWT,86.3
VNM,65
COD,55.9
DZA,39.2
MOZ,62.9
CMR,24.8
SAU,61.6
AFG,37.8
SDN,35
ZWE,41.8
KHM,67.4
IRN,45.8
QAT,83.3
LBY,63.4
GNQ,4.1
TKM,0
MMR,1.6
