iso3,NOR,USA,GBR,AUS,BRA,MEX,CAN,CHL,COL,TTO,PER,IND,TLS,IDN,GHA,LBR,ZMB,ECU,KAZ,VEN,RUS,ZAF,PHL,MAR,BOL,MNG,TZA,AZE,IRQ,BWA,BHR,GAB,GIN,MYS,SLE,CHN,YEM,EGY,PNG,NGA,AGO,KWT,VNM,COD,DZA,MOZ,CMR,SAU,AFG,SDN,ZWE,KHM,IRN,QAT,LBY,GNQ,TKM,MMR
name,Norway,United States,United Kingdom,Australia,Brazil,Mexico,Canada,Chile,Colombia,Trinidad and Tobago,Peru,India,Timor-Leste,Indonesia,Ghana,Liberia,Zambia,Ecuador,Kazakhstan,Venezuela,Russian Federation,South Africa,Philippines,Morocco,Bolivia,Mongolia,Tanzania,Azerbaijan,Iraq,Botswana,Bahrain,Gabon,Guinea,Malaysia,Sierra Leone,China,Yemen,Egypt,Papua New Guinea,Nigeria,Angola,Kuwait,Vietnam,Democratic Republic of the Congo,Algeria,Mozambique,Cameroon,Saudi Arabia,Afghanistan,Sudan,Zimbabwe,Cambodia,Iran,Qatar,Libya,Equatorial Guinea,Turkmenistan,Myanmar
notes,,Gulf of Mexico,,Western Australia,,,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rwi_region,OECD,OECD,OECD,OECD,Latin America & Caribbean,Latin America & Caribbean,OECD,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Eurasia & South Asia,East Asia & Pacific,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Eurasia & South Asia,Latin America & Caribbean,Eurasia & South Asia,Sub-Saharan Africa,East Asia & Pacific,Middle East & North Africa,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Eurasia & South Asia,Middle East & North Africa,Sub-Saharan Africa,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,East Asia & Pacific,Middle East & North Africa,Middle East & North Africa,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Middle East & North Africa,East Asia & Pacific,Sub-Saharan Africa,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,Middle East & North Africa,Eurasia & South Asia,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Middle East & North Africa,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eurasia & South Asia,East Asia & Pacific
rwi_rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
rwi_score,98,92,88,85,80,77,76,75,74,74,73,70,68,66,63,62,61,58,57,56,56,56,54,53,53,51,50,48,47,47,47,46,46,46,46,43,43,43,43,43,42,41,41,39,38,37,34,34,33,31,31,29,28,26,19,13,5,4
rwi_institutional,100,88,79,88,82,84,67,77,75,64,88,60,77,76,79,83,71,70,62,57,69,57,63,80,48,80,44,57,57,55,38,60,86,39,52,43,57,40,59,66,58,28,63,56,57,58,63,30,63,80,48,52,26,15,11,27,13,8
rwi_reporting,97,97,91,87,78,83,72,74,73,83,83,72,82,66,51,62,62,64,58,69,31,60,54,47,60,39,48,54,52,28,40,51,45,45,47,46,46,44,34,38,43,43,39,45,41,26,33,35,29,17,23,13,33,14,29,14,4,5
rwi_safeguard,98,89,83,65,96,81,74,65,91,86,57,83,70,75,73,71,72,65,76,67,75,62,51,63,56,49,68,51,63,53,59,39,43,39,59,46,52,48,50,53,52,36,31,42,28,37,25,31,38,35,56,46,26,20,15,4,0,2
rwi_enabling,98,90,93,96,66,53,96,87,58,52,55,61,28,46,59,31,37,28,32,18,72,39,46,32,42,48,42,24,9,69,58,28,11,60,24,36,16,40,38,18,15,57,30,6,26,37,17,38,8,8,6,20,23,66,10,4,3,2
area,30625,915896,24193,768230,845942,190869,909351,74880,103870,513,128000,297319,1487,181157,22754,9632,74339,27684,269970,88205,1638094,121447,29817,44630,108438,156650,88359,8260,43737,56673,71,25767,24572,32855,7162,932743,52797,99545,45286,91077,124670,1782,32549,226705,238174,78409,46540,214969,65209,237600,38685,17652,163620,1100,175954,2805,46993,65755
pop2005,4638836,299846449,60244834,20310208,186830759,104266392,32270507,16295102,4494579,1323722,27274266,1134403141,1067285,226063044,2253501,3441796,11478317,13060993,15210609,26725573,143953092,47938663,84566163,30494991,9182015,2580704,38477873,8352021,27995984,1835938,724788,1290693,9002656,25652985,5586403,1312978855,21095679,72849793,6069715,141356083,16095214,2700,85028643,58740547,32854159,20532675,17795149,2361236,25067407,36899747,13119679,13955507,69420607,796186,5918217,484098,4833266,47967266
