iso3,name,notes,rwi_region,rwi_rank,rwi_score,rwi_institutional,rwi_reporting,rwi_safeguard,rwi_enabling,resource,area,pop2005
NOR,Norway,,OECD,1,98,100,97,98,98,Hydrocarbons,30625,4638836
USA,United States,Gulf of Mexico,OECD,2,92,88,97,89,90,Hydrocarbons,915896,299846449
GBR,United Kingdom,,OECD,3,88,79,91,83,93,Hydrocarbons,24193,60244834
AUS,Australia,Western Australia,OECD,4,85,88,87,65,96,Minerals ,768230,20310208
BRA,Brazil,,Latin America & Caribbean,5,80,82,78,96,66,Hydrocarbons,845942,186830759
MEX,Mexico,,Latin America & Caribbean,6,77,84,83,81,53,Hydrocarbons,190869,104266392
CAN,Canada,Alberta,OECD,7,76,67,72,74,96,Hydrocarbons,909351,32270507
CHL,Chile,,Latin America & Caribbean,8,75,77,74,65,87,Minerals,74880,16295102
COL,Colombia,,Latin America & Caribbean,9,74,75,73,91,58,Hydrocarbons,103870,4494579
TTO,Trinidad and Tobago,,Latin America & Caribbean,10,74,64,83,86,52,Hydrocarbons,513,1323722
PER,Peru,,Latin America & Caribbean,11,73,88,83,57,55,Minerals,128000,27274266
IND,India,,Eurasia & South Asia,12,70,60,72,83,61,Hydrocarbons,297319,1134403141
TLS,Timor-Leste,,East Asia & Pacific,13,68,77,82,70,28,Hydrocarbons,1487,1067285
IDN,Indonesia,,East Asia & Pacific,14,66,76,66,75,46,Hydrocarbons,181157,226063044
GHA,Ghana,,Sub-Saharan Africa,15,63,79,51,73,59,Minerals,22754,2253501
LBR,Liberia,,Sub-Saharan Africa,16,62,83,62,71,31,Minerals,9632,3441796
ZMB,Zambia,,Sub-Saharan Africa,17,61,71,62,72,37,Minerals,74339,11478317
ECU,Ecuador,,Latin America & Caribbean,18,58,70,64,65,28,Hydrocarbons,27684,13060993
KAZ,Kazakhstan,,Eurasia & South Asia,19,57,62,58,76,32,Hydrocarbons,269970,15210609
VEN,Venezuela,,Latin America & Caribbean,20,56,57,69,67,18,Hydrocarbons,88205,26725573
RUS,Russian Federation,,Eurasia & South Asia,21,56,69,31,75,72,Minerals,1638094,143953092
ZAF,South Africa,,Sub-Saharan Africa,22,56,57,60,62,39,Hydrocarbons,121447,47938663
PHL,Philippines,,East Asia & Pacific,23,54,63,54,51,46,Minerals,29817,84566163
MAR,Morocco,,Middle East & North Africa,24,53,80,47,63,32,Hydrocarbons,44630,30494991
BOL,Bolivia,,Latin America & Caribbean,25,53,48,60,56,42,Minerals,108438,9182015
MNG,Mongolia,,East Asia & Pacific,26,51,80,39,49,48,Minerals,156650,2580704
TZA,Tanzania,,Sub-Saharan Africa,27,50,44,48,68,42,Minerals,88359,38477873
AZE,Azerbaijan,,Eurasia & South Asia,28,48,57,54,51,24,Hydrocarbons,8260,8352021
IRQ,Iraq,,Middle East & North Africa,29,47,57,52,63,9,Hydrocarbons,43737,27995984
BWA,Botswana,,Sub-Saharan Africa,30,47,55,28,53,69,Minerals,56673,1835938
BHR,Bahrain,,Middle East & North Africa,31,47,38,40,59,58,Hydrocarbons,71,724788
GAB,Gabon,,Sub-Saharan Africa,32,46,60,51,39,28,Hydrocarbons,25767,1290693
GIN,Guinea,,Sub-Saharan Africa,33,46,86,45,43,11,Minerals,24572,9002656
MYS,Malaysia,,East Asia & Pacific,34,46,39,45,39,60,Hydrocarbons,32855,25652985
SLE,Sierra Leone,,Sub-Saharan Africa,35,46,52,47,59,24,Minerals,7162,5586403
CHN,China,,East Asia & Pacific,36,43,43,46,46,36,Hydrocarbons,932743,1312978855
YEM,Yemen,,Middle East & North Africa,37,43,57,46,52,16,Hydrocarbons,52797,21095679
EGY,Egypt,,Middle East & North Africa,38,43,40,44,48,40,Hydrocarbons,99545,72849793
PNG,Papua New Guinea,,East Asia & Pacific,39,43,59,34,50,38,Minerals,45286,6069715
NGA,Nigeria,,Sub-Saharan Africa,40,43,66,38,53,18,Hydrocarbons,91077,141356083
AGO,Angola,,Sub-Saharan Africa,41,42,58,43,52,15,Hydrocarbons,124670,16095214
KWT,Kuwait,,Middle East & North Africa,42,41,28,43,36,57,Hydrocarbons,1782,2700
VNM,Vietnam,,East Asia & Pacific,43,41,63,39,31,30,Hydrocarbons,32549,85028643
COD,Democratic Republic of the Congo,,Sub-Saharan Africa,44,39,56,45,42,6,Minerals,226705,58740547
DZA,Algeria,,Middle East & North Africa,45,38,57,41,28,26,Hydrocarbons,238174,32854159
MOZ,Mozambique,,Sub-Saharan Africa,46,37,58,26,37,37,Hydrocarbons,78409,20532675
CMR,Cameroon,,Sub-Saharan Africa,47,34,63,33,25,17,Hydrocarbons,46540,17795149
SAU,Saudi Arabia,,Middle East & North Africa,48,34,30,35,31,38,Hydrocarbons,214969,2361236
AFG,Afghanistan,,Eurasia & South Asia,49,33,63,29,38,8,Minerals,65209,25067407
SDN,Sudan,,Sub-Saharan Africa,50,31,80,17,35,8,Hydrocarbons,237600,36899747
ZWE,Zimbabwe,,Sub-Saharan Africa,51,31,48,23,56,6,Minerals,38685,13119679
KHM,Cambodia,,East Asia & Pacific,52,29,52,13,46,20,Hydrocarbons,17652,13955507
IRN,Iran,,Middle East & North Africa,53,28,26,33,26,23,Hydrocarbons,163620,69420607
QAT,Qatar,,Middle East & North Africa,54,26,15,14,20,66,Hydrocarbons,1100,796186
LBY,Libya,,Sub-Saharan Africa,55,19,11,29,15,10,Hydrocarbons,175954,5918217
GNQ,Equatorial Guinea,,Sub-Saharan Africa,56,13,27,14,4,4,Hydrocarbons,2805,484098
TKM,Turkmenistan,,Eurasia & South Asia,57,5,13,4,0,3,Hydrocarbons,46993,4833266
MMR,Myanmar,,East Asia & Pacific,58,4,8,5,2,2,Hydrocarbons,65755,47967266
